"publish_date","France","Germany","Italy","Spain","United Kingdom"
2020-10-21,133.142857142857,28.2857142857143,65.5714285714286,141,135.571428571429
2020-10-22,140.857142857143,27.8571428571429,77.5714285714286,146.857142857143,143.285714285714
2020-10-23,151.428571428571,31.4285714285714,85.1428571428571,151,150.571428571429
2020-10-24,170.714285714286,33.7142857142857,90.2857142857143,158.714285714286,163.142857142857
2020-10-25,177.571428571429,36.4285714285714,105.142857142857,169.142857142857,166.571428571429
2020-10-26,182,38.1428571428571,113.571428571429,177.571428571429,178.571428571429
2020-10-27,195.857142857143,37.4285714285714,123.285714285714,183.285714285714,181.714285714286
2020-10-28,233.142857142857,44,142.142857142857,189,199.714285714286
2020-10-29,245.428571428571,52.4285714285714,153.285714285714,196.142857142857,216.714285714286
2020-10-30,255.857142857143,56.4285714285714,164.857142857143,205,229.714285714286
2020-10-31,289.285714285714,64.1428571428571,180.285714285714,208.714285714286,236.857142857143
2020-11-01,301.571428571429,64.1428571428571,201.142857142857,210.714285714286,258.571428571429
2020-11-02,318,67.7142857142857,212.571428571429,216.714285714286,260.142857142857
2020-11-03,342,80.4285714285714,225.714285714286,224,265
2020-11-04,389.428571428571,89.8571428571429,244.571428571429,232.142857142857,269.285714285714
2020-11-05,410.142857142857,94,265.571428571429,240.714285714286,295.285714285714
2020-11-06,428.428571428571,106.714285714286,295.714285714286,253.285714285714,309.285714285714
2020-11-07,470.714285714286,110.571428571429,331,263.571428571429,320.857142857143
2020-11-08,482.285714285714,115.428571428571,349.285714285714,278.142857142857,333.285714285714
2020-11-09,487.857142857143,117.428571428571,366.857142857143,280.714285714286,332.428571428571
2020-11-10,507.142857142857,120.714285714286,384.428571428571,287,340.714285714286
2020-11-11,559.428571428571,136.428571428571,416.857142857143,289,360
2020-11-12,549.714285714286,150.285714285714,455.571428571429,290.285714285714,374.714285714286
2020-11-13,558.571428571429,157.714285714286,485.285714285714,291.857142857143,401.142857142857
2020-11-14,573.428571428571,164.571428571429,500.142857142857,293.857142857143,404.142857142857
2020-11-15,580.571428571429,170.857142857143,517.142857142857,288.714285714286,411.142857142857
2020-11-16,585.142857142857,170.714285714286,547.857142857143,291.571428571429,412.857142857143
2020-11-17,579.142857142857,186.857142857143,569,286.857142857143,415.571428571429
2020-11-18,579,193.142857142857,590.571428571429,285.571428571429,425
2020-11-19,592.571428571429,198.285714285714,609.142857142857,289.857142857143,415.571428571429
2020-11-20,593.142857142857,204.285714285714,611.571428571429,280.714285714286,406.714285714286
2020-11-21,622.571428571429,215.142857142857,632.857142857143,277.571428571429,426
2020-11-22,608.142857142857,219.571428571429,654,275,408.571428571429
2020-11-23,595.571428571429,223.571428571429,656.285714285714,272.142857142857,402.428571428571
2020-11-24,594.857142857143,221,674.285714285714,270.428571428571,440.428571428571
2020-11-25,564.285714285714,236,691.714285714286,268.857142857143,441.857142857143
2020-11-26,558.285714285714,255.714285714286,687.285714285714,252.857142857143,465.571428571429
2020-11-27,545.428571428571,279.428571428571,711.428571428571,251.857142857143,465.142857142857
2020-11-28,519.571428571429,297.285714285714,729.714285714286,247.714285714286,466.428571428571
2020-11-29,513.857142857143,300.142857142857,728.857142857143,242.142857142857,486.285714285714
2020-11-30,511.571428571429,305.142857142857,725.857142857143,234.428571428571,499.142857142857
2020-12-01,498.285714285714,325,731.857142857143,227.285714285714,459.714285714286
2020-12-02,465.428571428571,336,722.142857142857,219.142857142857,459
2020-12-03,456.571428571429,348.857142857143,716.714285714286,216.285714285714,452.285714285714
2020-12-04,454.428571428571,349.714285714286,741.142857142857,207.857142857143,440.285714285714
2020-12-05,407.142857142857,364.571428571429,739.285714285714,197.142857142857,438
2020-12-06,407.285714285714,378.428571428571,735.857142857143,191.142857142857,426.285714285714
2020-12-07,403.857142857143,381.571428571429,739.142857142857,186.142857142857,428.571428571429
2020-12-08,398.142857142857,386.571428571429,718.571428571429,183,426.571428571429
2020-12-09,405.714285714286,401.285714285714,697,177.857142857143,426
