"publish_date","Central Asia","Eastern Asia","Eastern Europe","Latin America and the Caribbean","Northern Africa","Northern America","Oceania","Others","South-eastern Asia","Southern Asia","Sub-Saharan Africa","West Europe","Western Asia"
2020-10-11,10.7142857142857,5.85714285714286,457.571428571429,2207.42857142857,85,719.857142857143,2,5.57142857142857,216.428571428571,1206.57142857143,135,384.714285714286,244.428571428571
2020-10-12,11.2857142857143,5.85714285714286,475.285714285714,2185,84.5714285714286,698,2,5.71428571428571,220,1165,145.857142857143,405.857142857143,246.571428571429
2020-10-13,11.4285714285714,6.14285714285714,478.428571428571,2168,83.1428571428571,712.857142857143,1.57142857142857,5.57142857142857,202.428571428571,1213.71428571429,155,424.285714285714,249.571428571429
2020-10-14,11,6.57142857142857,491.285714285714,2115.71428571429,78.8571428571429,714.857142857143,1.71428571428571,5,200.714285714286,1286.85714285714,166.428571428571,448.857142857143,251.142857142857
2020-10-15,11.2857142857143,6.42857142857143,510.571428571429,2048.42857142857,78.4285714285714,720.428571428571,2,4.71428571428571,208.142857142857,1109,182.285714285714,475.142857142857,252.857142857143
2020-10-16,11.4285714285714,6.71428571428571,530.428571428571,2093.71428571429,86.7142857142857,593.428571428571,2.14285714285714,4.71428571428571,195.857142857143,1103.28571428571,162.142857142857,506.857142857143,253.857142857143
2020-10-17,11.2857142857143,7.14285714285714,561.571428571429,1615.85714285714,93.7142857142857,700.571428571429,2.28571428571429,2.14285714285714,186.714285714286,1101.14285714286,152.428571428571,542.142857142857,253.142857142857
2020-10-18,13,7.85714285714286,573.714285714286,1612.85714285714,98.7142857142857,711.285714285714,2.57142857142857,3.71428571428571,185.285714285714,1127.42857142857,143.857142857143,561.857142857143,257.428571428571
2020-10-19,12.2857142857143,8,599.428571428571,1607.57142857143,106.142857142857,713.285714285714,2.28571428571429,3.71428571428571,187.285714285714,1125.71428571429,136.857142857143,575.285714285714,250.571428571429
2020-10-20,12.4285714285714,8,617.714285714286,1583.28571428571,106.142857142857,712.428571428571,2.57142857142857,4,181.714285714286,1083,122.714285714286,610.571428571429,262
2020-10-21,12.7142857142857,7.57142857142857,650.714285714286,1624.85714285714,118.714285714286,785.857142857143,2.42857142857143,4,186.714285714286,1088.71428571429,123.571428571429,667.857142857143,267.428571428571
2020-10-22,12.5714285714286,7.14285714285714,673.142857142857,1597.28571428571,125.571428571429,752.571428571429,2.14285714285714,4,181.571428571429,1092.57142857143,120.142857142857,714,267
2020-10-23,12.5714285714286,8.28571428571429,704.571428571429,1682,118.714285714286,908.428571428571,1.85714285714286,4.28571428571429,178.714285714286,1078.14285714286,113.571428571429,761,264.285714285714
2020-10-24,12.4285714285714,8.42857142857143,725.857142857143,1640.42857142857,120.857142857143,807.714285714286,1.85714285714286,4.14285714285714,198.714285714286,965.714285714286,111.285714285714,829.428571428571,264
2020-10-25,12.4285714285714,7.71428571428571,755.285714285714,1614.14285714286,134.142857142857,800.285714285714,1.71428571428571,2.28571428571429,196.285714285714,831.142857142857,111.142857142857,894.285714285714,267.714285714286
2020-10-26,12.2857142857143,8.14285714285714,781.428571428571,1638,121.857142857143,835,1.71428571428571,3.85714285714286,195.714285714286,754.142857142857,106.285714285714,945.857142857143,270
2020-10-27,12.2857142857143,8.85714285714286,809.714285714286,1650.71428571429,145.428571428571,822,2.71428571428571,3.85714285714286,206.571428571429,981.714285714286,111,997.142857142857,272.571428571429
2020-10-28,12.1428571428571,8.85714285714286,838,1655.85714285714,146.714285714286,818.857142857143,2.57142857142857,4.28571428571429,198.285714285714,957.571428571429,95.8571428571429,1111.14285714286,277.428571428571
2020-10-29,11.7142857142857,8.57142857142857,874.142857142857,1663,138.142857142857,826.142857142857,2.85714285714286,4.71428571428571,195.571428571429,950.714285714286,89.7142857142857,1194.28571428571,283.571428571429
2020-10-30,11.2857142857143,8.28571428571429,926.285714285714,1635,143.857142857143,824.571428571429,3,4.57142857142857,191.714285714286,940.428571428571,83.5714285714286,1269.85714285714,284.857142857143
2020-10-31,11,8,964.142857142857,1628,151.428571428571,832.285714285714,3,5,170.142857142857,1026.71428571429,86.2857142857143,1371.57142857143,290.714285714286
2020-11-01,11.1428571428571,9.14285714285714,1003.85714285714,1545.57142857143,143.142857142857,842.857142857143,2.71428571428571,5.14285714285714,164.285714285714,1098.14285714286,84.1428571428571,1457.14285714286,297.285714285714
2020-11-02,11.8571428571429,9.57142857142857,1026.85714285714,1601.71428571429,151.571428571429,840.571428571429,2.71428571428571,4.28571428571429,155.428571428571,1193,101.571428571429,1529.14285714286,308.571428571429
2020-11-03,11.8571428571429,9.57142857142857,1057.42857142857,1572.71428571429,144.142857142857,853.714285714286,2.57142857142857,5.14285714285714,148.285714285714,967.142857142857,104.857142857143,1625.28571428571,299
2020-11-04,12.1428571428571,9.85714285714286,1107.85714285714,1556,145.714285714286,857.857142857143,2.71428571428571,5.71428571428571,154.857142857143,981.571428571429,108,1753.57142857143,289.714285714286
2020-11-05,12.5714285714286,10.7142857142857,1153.28571428571,1552.57142857143,196,891.285714285714,2.28571428571429,7.28571428571429,154.714285714286,1010.85714285714,106.285714285714,1868.71428571429,307.571428571429
2020-11-06,12.2857142857143,11,1188.28571428571,1527.14285714286,217.571428571429,904.714285714286,2.71428571428571,8,169.714285714286,1028,98,1994.57142857143,312.285714285714
2020-11-07,11.8571428571429,9.85714285714286,1245,1547.57142857143,210.428571428571,917.285714285714,2.71428571428571,9,160.571428571429,899.142857142857,111,2130,320.428571428571
2020-11-08,12.5714285714286,8.57142857142857,1272.57142857143,1548.85714285714,213.714285714286,948.714285714286,2.85714285714286,10.2857142857143,161.142857142857,1062.42857142857,111.285714285714,2214.57142857143,316.714285714286
2020-11-09,12.7142857142857,8.28571428571429,1294,1502.14285714286,213.714285714286,988.285714285714,3,10.8571428571429,167.428571428571,1065.42857142857,89.5714285714286,2266.71428571429,315.285714285714
2020-11-10,12.7142857142857,9.14285714285714,1328,1510.14285714286,213.857142857143,991.857142857143,3.14285714285714,11.4285714285714,174.571428571429,998.428571428571,90.7142857142857,2348,319.714285714286
2020-11-11,12.4285714285714,10.1428571428571,1360.57142857143,1499.57142857143,223.428571428571,1019.28571428571,3.57142857142857,11,164.285714285714,1068,94.8571428571429,2487.42857142857,339.857142857143
2020-11-12,12.2857142857143,10.1428571428571,1404.42857142857,1483.71428571429,190.571428571429,1127.42857142857,3,10.4285714285714,157.428571428571,1051.57142857143,96,2569.42857142857,330.857142857143
2020-11-13,12.5714285714286,10.5714285714286,1392.85714285714,1444.85714285714,178,1168.42857142857,2.42857142857143,10.7142857142857,136.714285714286,1042.71428571429,108,2658.14285714286,340.428571428571
2020-11-14,12.8571428571429,11.8571428571429,1405.14285714286,1510.28571428571,172.428571428571,1183,2.71428571428571,10.8571428571429,149,1183.57142857143,101.571428571429,2705.28571428571,342.857142857143
